13:00 Course n° 18 Open femmes C-1 500m Semi finale 1,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
5,Onake 2001 Konwanakeren Diabo,1,"2:28,530"
4,Lac-Beauport 2010 Maya Noel,2,"2:33,600"
6,Lac-Beauport 2011 Maelle Girard,3,"2:37,350"
7,Trois-Rivières 2007 Flavie Martin,4,"2:38,910"
8,Otterburn 2009 Julianne Pronovost,5,"2:39,790"
2,Pointe-Claire 2011 Olive Archambault,6,"2:39,920"
3,Cascades 2006 Florence Gauthier,7,"2:44,520"
1,Lac-Beauport 2011 Olivia Desrosiers-Mc Arthur,8,"2:45,540"
9,Otterburn 2008 Eloise Gamache,9,"2:54,310"
13:05 Course n° 19 Open femmes C-1 500m Semi finale 2,,,
Couloir,Club Équipage,Résultats,Temps
4,Lac-Beauport 2004 Alexia Gagnon,1,"2:28,820"
5,Lac-Beauport 2006 Charlotte C. Desy,2,"2:30,110"
3,Lac-Beauport 2007 Leia Stephenson,3,"2:31,130"
6,Otterburn 2004 Leanne Castonguay,4,"2:38,020"
2,Lac-Beauport 2010 Abigail Harrington,5,"2:38,680"
7,Lac-Beauport 2010 Emma-Rose Nadeau,6,"2:39,760"
1,Lac-Beauport 2008 Nora-Maelie Turcotte,7,"2:46,090"
9,Pointe-Claire 2010 Florence Stewart-Mueller,8,"2:46,920"
8,Trois-Rivières 2007 Maeva Emond 9,,"2:47,080"
13:10 Course n° 20 Open femmes C-1 500m Repêchage 1,,,
Couloir,Club Équipage,Résultats,Temps
5,Otterburn 2009 Maelie Levesque,1,"2:57,530"
4,Cascades 2010 Katsya Ranson,2,"3:14,600"
6,Otterburn 2009 Coralie Timmons,3,"3:28,200"
1,,,
2,,,
3,,,
7,,,
8,,,
9,,,
Open femmes K-1 500m,,,
