1:00 PM - Race #197 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,"Lyla BOYCHUK, Elizabeth FANOK, Katie GAUDET, Cadence
WHYNACHT",Banook,1:50.043,0:00.000
2,4,"Anika DU PLOOY, Grace HILTON, Sofia MARTELI, Cambden
PRATT",Maskwa,1:53.099,0:03.056
3,5,"Brooklyn KEIZER, Ellena KOZUSKANICH, Marin MACNEIL,
Catherine NORMAN",Mic Mac,1:53.105,0:03.062
4,8,"Hayley BOSOVICH, Isabella NIKITOVIC, Axeleena
ROBERTSON, Eve WILSON",Wascana,1:55.021,0:04.978
5,7,"Lily JOBIN, Maïté LÉGER, Justine TREMBLAY, Maude
VITTOZ",Lac-Beauport,1:55.405,0:05.362
6,2,"Juniper CODE, Alison NGUYEN, Beatrice OGER, Ella
SEMENIUK",Rideau,1:55.549,0:05.506
7,9,"Abbie BEGBIE, Aurianna FRATE, Zoe HATFIELD, Charlotte
KELLAND",Ottawa,1:55.921,0:05.878
8,3,"Harmony MCADAM, Laila MCGRATH, Lily MCNEELY, Honour
MCQUAY",Carleton Place,1:57.421,0:07.378
9,1,"Anna DONAHUE, Claire GOMEZ, Charlie HAZEL, Ayla
MARTELL",Maskwa,1:58.360,0:08.317
