9:46 AM - Race #120 - Heat 1 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Owen MACLEAN,Balmy Beach,3:42.608,0:00.000
2,4,Tate LEVY,Senobe,3:43.053,0:00.445
3,7,Conrad HOOGERBOORD,Senobe,3:46.253,0:03.645
4,1,Aiden KINNAIRD,Burloak,3:47.953,0:05.345
5,5,Lucas MANN,Calgary,3:55.408,0:12.800
6,2,Xavier BIRD,Calgary,4:01.136,0:18.528
7,3,Gavin BURKE,Rideau,4:06.986,0:24.378
8,9,Xander MOULAND,Ridge,4:14.819,0:32.211
9,8,Ruben DEME-LINDBERG,Rideau,4:20.675,0:38.067
