9:03 AM - Race #17 - Heat 1 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Ben WALKER,Maskwa,0:41.748,0:00.000
2,1,Reuben LOZADA,Mississauga,0:42.282,0:00.534
3,9,Alex DOYON,Otterburn,0:42.721,0:00.973
4,6,Alex SHERIDAN,Balmy Beach,0:42.732,0:00.984
5,5,Ethan OLSON-MESA,Toba,0:43.971,0:02.223
6,3,Mason COBB,Rideau,0:44.093,0:02.345
7,7,Luke MACKENZIE,Maskwa,0:44.176,0:02.428
8,8,Daniel SEELY,Rideau,0:45.776,0:04.028
9,2,Ryan BATES,Calgary,0:47.165,0:05.417
