4:26 PM - Race #282 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,"Anna ARCHIBALD, Norah LEGGE",Banook,1:53.273,0:00.000
2,5,"Gaelle BOUSQUET, Emilee VATERS",Maskwa,1:55.067,0:01.794
3,4,"Cassie KENNY, Maea KNIGHTS",Burloak,1:55.145,0:01.872
4,8,"Marie CHAMBERLAND, Justine TREMBLAY",Lac-Beauport,1:55.711,0:02.438
5,2,"Sarah LEGER, Erika WALSH",Senobe,1:57.111,0:03.838
6,3,"Sabrina TYRRELL, Emily ZHUANG",Burloak,1:57.289,0:04.016
7,9,"Kahlen TSZE, Senika VELISEK",False Creek,2:02.617,0:09.344
8,1,"Lyla BOYCHUK, Olivia MURPHY",Banook,2:04.967,0:11.694
9,7,"Anais LAPOINTE, Maika ST-YVES",Trois Rivieres,2:05.745,0:12.472
