10:10 AM - Race #124 - Heat 2 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Alec MACAULAY,Cheema,4:15.762,0:00.000
2,1,Liam MACDONALD,Senobe,4:16.467,0:00.705
3,3,Emmett PATTERSON,Wascana,4:22.556,0:06.794
4,7,Christophe DESROCHERS,Lac-Beauport,4:24.467,0:08.705
5,5,Nate NEULS,Kamloops,4:24.656,0:08.894
6,8,Lennart KANE,Calgary,4:27.506,0:11.744
7,4,Noa PICHÉ,Otterburn,4:38.973,0:23.211
8,2,Zachary SMITH,Fort,4:39.362,0:23.600
9,9,Diego PADRON-CORBEIL,Pointe-Claire,4:48.328,0:32.566
