5:02 PM - Race #96 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Lukas GOAS,False Creek,3:55.479,0:00.000
2,4,Max IVANOV,Richmond Hill,3:58.123,0:02.644
3,3,Reuben LOZADA,Mississauga,4:00.985,0:05.506
4,7,Jonathan PIGEON,Lac-Beauport,4:04.490,0:09.011
5,6,Ben WALKER,Maskwa,4:06.379,0:10.900
6,9,Alex SHERIDAN,Balmy Beach,4:10.023,0:14.544
7,2,Alexander HOLIC,Richmond Hill,4:11.101,0:15.622
8,1,William TOWNSEND,Maskwa,4:11.273,0:15.794
9,8,Victor GIRARD,Lac-Beauport,4:12.673,0:17.194
