3:31 PM - Race #273 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,"Vincent JOURDENAIS, Jérémy LANTZ",Trois Rivieres,3:24.131,0:00.000
2,8,"Jason BURKHOLDER, Carson COREY",Burloak,3:27.026,0:02.895
3,4,"Alex ERITH-ELLWOOD, Tate LEVY",Senobe,3:27.159,0:03.028
4,5,"Raphaël CÔTÉ, Nathan DAOUST",Lac-Beauport,3:28.326,0:04.195
5,7,"Cormac ADAMS, Nehal DHILLON",Burloak,3:31.515,0:07.384
6,3,"Jacob LÉVESQUE, Arthur MOREAU",Otterburn,3:39.431,0:15.300
7,1,"Félix ALBERT, Jérémy PELLETIER",Trois Rivieres,3:39.792,0:15.661
8,9,"Cedric LIU, Émile PAQUETTE",Pointe-Claire,3:44.154,0:20.023
9,2,"Marcelo DE ANDRADE, Vladimir DEMISHKEVICH",Pointe-Claire,3:44.837,0:20.706
