3:32 PM - Race #78 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Elizabeth FANOK,Banook,0:45.452,0:00.000
2,8,Matilda BOWERS,Cheema,0:46.224,0:00.772
3,4,Kahlen TSZE,False Creek,0:46.374,0:00.922
4,6,Sofia MARTELI,Maskwa,0:46.658,0:01.206
5,3,Eve WILSON,Wascana,0:47.747,0:02.295
6,2,Justine TREMBLAY,Lac-Beauport,0:47.841,0:02.389
7,7,Zoe HATFIELD,Ottawa,0:48.563,0:03.111
8,1,Honour MCQUAY,Carleton Place,0:48.652,0:03.200
9,9,Abbie BEGBIE,Ottawa,0:48.880,0:03.428
