5:10 PM - Race #289 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,"Vincent JOURDENAIS, Jérémy LANTZ",Trois Rivieres,1:33.426,0:00.000
2,7,"Alexander HOFEREK, Ryan NARODITSKY",Rideau,1:34.698,0:01.272
3,4,"Alex ERITH-ELLWOOD, Conrad HOOGERBOORD",Senobe,1:34.942,0:01.516
4,3,"Nicholas MATVEEV, Jonah QUESNEL",Balmy Beach,1:35.142,0:01.716
5,8,"Cameron LOW, Lucas STEIN",Balmy Beach,1:36.170,0:02.744
6,6,"Cormac ADAMS, Jason BURKHOLDER",Burloak,1:38.009,0:04.583
7,2,"Ethan HENNIG, Brian MALFESI",Ridge,1:40.259,0:06.833
8,1,"Marc-Alexandre GAGNON, Jérémy PELLETIER",Trois Rivieres,1:40.848,0:07.422
