4:40 PM - Race #92 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Jérémy LANTZ,Trois Rivieres,1:45.080,0:00.000
2,3,Carson COREY,Burloak,1:45.480,0:00.400
3,5,Alex ERITH-ELLWOOD,Senobe,1:46.335,0:01.255
4,2,Nathan DAOUST,Lac-Beauport,1:46.513,0:01.433
5,8,Ryan NARODITSKY,Rideau,1:47.202,0:02.122
6,9,Raphaël CÔTÉ,Lac-Beauport,1:47.713,0:02.633
7,6,David STEWART,Rideau,1:48.385,0:03.305
8,7,Luke ENNS,Toba,1:49.497,0:04.417
9,1,Nehal DHILLON,Burloak,1:51.908,0:06.828
