4:23 PM - Race #162 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Megan THOMPSON,Cheema,32:44.324,0:00.000
2,8,Grace THEUNISSEN,Banook,33:20.441,0:36.117
3,4,Roxie BODNAR,Fort,33:39.324,0:55.000
4,13,Emmerson EISENER,Cheema,33:52.030,1:07.706
5,19,Alexandra SANGSTER,Maskwa,34:23.913,1:39.589
6,6,Kai CHOE,Calgary,34:24.135,1:39.811
7,3,Maya NOËL,Lac-Beauport,35:58.496,3:14.172
8,1,Julia BELLERBY,Mississauga,36:21.874,3:37.550
9,9,Eliza GROB,Fort,37:02.235,4:17.911
10,2,Haley SEBESTA,North Bay,37:19.080,4:34.756
11,7,Olive ARCHAMBAULT,Pointe-Claire,37:57.024,5:12.700
12,21,Phoebe MURPHY,Banook,38:12.235,5:27.911
13,25,Ifi UZOCHUKWU,Maskwa,38:50.380,6:06.056
14,12,Addie MASSON,Rideau,39:05.630,6:21.306
15,11,Sophie SIEWERT,Calgary,40:14.052,7:29.728
16,10,Katherine KERWIN,Burloak,40:37.602,7:53.278
17,24,Charlotte COOKE,Cheema,41:34.324,8:50.000
18,16,Violet ENNS,Toba,42:32.374,9:48.050
19,18,Kennedy MACDONALD,Mississauga,43:09.996,10:25.672
