12:45 PM - Race #194 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,"Mason HARA, Daniel KRAVCHUK, Spencer MCLEOD, Josh
SARGANT",Mississauga,1:55.058,0:00.000
2,3,"William BERTAZZO, Roenn HODGINS, Mason LOWRY, Luka
RIBERO",Carleton Place,1:57.453,0:02.395
3,5,"David ACKERMAN, Cohen CLUETT, Gabriel COLLINS, Wyatt
DEEBLE",Mic Mac,2:00.925,0:05.867
4,2,"Gabriel ARGANTE, Konstantine ARMSTRONG, Najib BITAR,
Jack WOODHEAD",Maskwa,2:01.303,0:06.245
5,7,"Cédric BOURGEOIS, Samuel JACOBS, Théandre LEGRAND,
Edouard PELLERIN",Pointe-Claire,2:05.331,0:10.273
6,4,"Connor BUNKO, Alfa LEE, Owen MILLER, Magnus
PATTERSON",Wascana,2:11.675,0:16.617
7,8,"Carson BENOIT, Jasper BIRD, Nazar HORDOSIEVYCH,
Brandon MILLEY",Calgary,2:12.847,0:17.789
8,1,"Tristan BUDAY, Bradley CREAMER, Ryan CREAMER, Jeremi
SAUVÉ",Pointe-Claire,2:37.714,0:42.656
DSQ,9,"Tyler GRIFFITH, Theodore HOLMSTROM, Nikosis LACROIX,
Owen LLOYD",Saskatoon,0:00.000,0:00.000
