12:03 PM - Race #51 - Heat 1 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Megan THOMPSON,Cheema,5:02.598,0:00.000
2,2,Alexandra SANGSTER,Maskwa,5:14.942,0:12.344
3,9,Marcy MEISNER,Cheema,5:24.487,0:21.889
4,4,Haley SEBESTA,North Bay,5:30.581,0:27.983
5,8,Emma-Rose NADEAU,Lac-Beauport,5:46.715,0:44.117
6,3,Maëlle GIRARD,Lac-Beauport,5:47.115,0:44.517
7,6,Sophie SIEWERT,Calgary,5:56.265,0:53.667
8,7,Evelyn ROSS,North Bay,6:21.559,1:18.961
9,1,Nambatya MUWANGA,Calgary,6:27.048,1:24.450
