11:45 AM - Race #48 - Heat 1 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Elizabeth FANOK,Banook,4:33.237,0:00.000
2,9,Katie GAUDET,Banook,4:43.260,0:10.023
3,2,Matilda BOWERS,Cheema,4:44.432,0:11.195
4,3,Matilda LAWSON-LONG,False Creek,4:52.426,0:19.189
5,8,Avalon LAWSON-LONG,False Creek,4:54.282,0:21.045
6,6,Amalia JORDAN,Calgary,4:56.821,0:23.584
7,4,Kendall SMITH,Mississauga,5:00.243,0:27.006
8,1,Axeleena ROBERTSON,Wascana,5:09.776,0:36.539
9,7,Audrey DUNCAN,Balmy Beach,5:13.365,0:40.128
