8:00 AM - Race #165 - Heat 1 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,"Conrad HOOGERBOORD, Tate LEVY",Senobe,1:41.963,0:00.000
2,6,"Owen MACLEAN, Jonah QUESNEL",Balmy Beach,1:43.680,0:01.717
3,7,"Nicholas LAPIERRE, Leif MITCHELL",Banook,1:45.091,0:03.128
4,8,"Léo ROY, Zachary TREMBLAY",Lac-Beauport,1:47.591,0:05.628
5,1,"Max IVANOV, Evan SUM",Richmond Hill,1:48.424,0:06.461
6,5,"Lucas MANN, Joshua ROWE",Calgary,1:48.730,0:06.767
7,3,"Gavin BURKE, Alessandro PUCCI",Rideau,1:50.713,0:08.750
8,9,"Ethan BEEHO, Charlie ROGERS",Balmy Beach,1:56.874,0:14.911
9,2,"Mason PARRY, Hunter STEHELIN",Flatwater North,1:57.968,0:16.005
