3:20 PM - Race #74 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Julia DEMCHUK,Calgary,0:43.559,0:00.000
2,7,Eva LOOPER,Burloak,0:45.248,0:01.689
3,5,Florence HAMEL,Lachine,0:45.703,0:02.144
4,8,Mathilde PATRY,Trois Rivieres,0:46.809,0:03.250
5,4,Emily BEST,Rideau,0:47.092,0:03.533
6,3,Jonnie NEWMAN,Calgary,0:47.148,0:03.589
7,1,Sophie BOUVETTE,Banook,0:47.709,0:04.150
8,9,Trista FRIEDRICH,Saskatoon,0:48.076,0:04.517
9,2,Chantal IP,Toba,0:48.809,0:05.250
