9:58 AM - Race #122 - Heat 3 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Damian HICKEY,Kamloops,3:46.593,0:00.000
2,4,Jonah QUESNEL,Balmy Beach,3:47.138,0:00.545
3,9,Harry BROWN,Cheema,3:47.871,0:01.278
4,3,Emrick LECLERC,Lac-Beauport,3:50.554,0:03.961
5,5,George FARNSWORTH,Rideau,3:50.677,0:04.084
6,8,Xavier HEBERT,Lac-Beauport,3:52.599,0:06.006
7,7,Ty COLLVER,Mississauga,3:55.893,0:09.300
8,2,Elias GHARBI,Ottawa,4:07.915,0:21.322
9,1,Thomas COLHOUN,Burnaby,4:11.771,0:25.178
