2:45 PM - Race #153 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Anna ARCHIBALD,Banook,4:07.602,0:00.000
2,7,Kate OSBORNE,Rideau,4:12.157,0:04.555
3,5,Erika WALSH,Senobe,4:14.485,0:06.883
4,8,Marie CHAMBERLAND,Lac-Beauport,4:21.896,0:14.294
5,4,Cassie KENNY,Burloak,4:23.218,0:15.616
6,3,Maea KNIGHTS,Burloak,4:24.035,0:16.433
7,9,Anais LAPOINTE,Trois Rivieres,4:26.368,0:18.766
8,2,Olivia MURPHY,Banook,4:26.685,0:19.083
9,1,Lilliana SATO,Richmond Hill,4:33.663,0:26.061
