5:00 PM - Race #287 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,"Julia DEMCHUK, Kristiane FREE, Jonnie NEWMAN, Lauren
RENTZ",Calgary,1:44.927,0:00.000
2,5,"Cassie KENNY, Maea KNIGHTS, Sabrina TYRRELL, Emily
ZHUANG",Burloak,1:45.949,0:01.022
3,4,"Anna ARCHIBALD, Katie GAUDET, Samantha LANDRY,
Norah LEGGE",Banook,1:47.232,0:02.305
4,7,"Daphnée CHAMPAGNE, Megan CHAMPAGNE, Anna-Marya
IZMAYLOV, Victoria LAVALLÉE-LATOUR",Sherbrooke,1:48.243,0:03.316
5,2,"Julia CAMPBELL, Cohen COMEAU, Sarah LEGER, Erika
WALSH",Senobe,1:51.077,0:06.150
6,3,"Gaelle BOUSQUET, Maura MACUMBER, Hannah MILLS,
Jenna WILE",Maskwa,1:51.899,0:06.972
7,8,"Chantal IP, Lillian JOHANNSSON, Daisy LARSEN, Scarlett
LARSEN",Toba,1:54.777,0:09.850
8,9,"Abigail BROOK, Madalyn BRUINS, Aleynah CHRUNIK, Ayla
TARASOFF",Saskatoon,1:55.382,0:10.455
9,1,"Sarah-Maude BARRETTE, Abigaelle LEGRAND, Sophie
MOÏSE DOS SANTOS, Kaiya Leah SCHADE",Pointe-Claire,1:56.321,0:11.394
