3:55 PM - Race #277 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,"Conrad HOOGERBOORD, Tate LEVY",Senobe,3:31.505,0:00.000
2,6,"Owen MACLEAN, Jonah QUESNEL",Balmy Beach,3:32.477,0:00.972
3,7,"Michael CHABAN, Reuben LOZADA",Mississauga,3:33.371,0:01.866
4,4,"Damian HICKEY, Douglas HUNTER",Kamloops,3:33.971,0:02.466
5,2,"Xavier HEBERT, Emrick LECLERC",Lac-Beauport,3:34.060,0:02.555
6,9,"Evan CUMMINGS, Lukas GOAS",False Creek,3:34.760,0:03.255
7,8,"Nicholas LAPIERRE, Leif MITCHELL",Banook,3:37.466,0:05.961
8,1,"Harry BROWN, Corbin COLVILLE",Cheema,3:38.999,0:07.494
9,3,"Xavier BIRD, Lucas MANN",Calgary,3:43.777,0:12.272
