5:05 PM - Race #288 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,"Alexandra SANGSTER, Victoria TRAN",Maskwa,2:06.130,0:00.000
2,5,"Abbigail HAINES, Isabel LOWRY",Carleton Place,2:06.702,0:00.572
3,3,"Ella COZENS, Elle MACKENZIE",Cheema,2:06.813,0:00.683
4,2,"Madeleine BEAUREGARD, Naomi LANGENBAHN",Rideau,2:09.402,0:03.272
5,6,"Katie COOPER, Emmerson EISENER",Cheema,2:11.452,0:05.322
6,8,"Maya NOËL, Leia STEPHENSON",Lac-Beauport,2:18.213,0:12.083
7,9,"Nuala CLARK, Veronica RUMSCHEIDT",Rideau,2:21.802,0:15.672
8,1,"Maeva EMOND, Flavie MARTIN",Trois Rivieres,2:22.652,0:16.522
9,7,"Phoebe MURPHY, Rachel SMITH",Banook,2:28.085,0:21.955
