5:40 PM - Race #103 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Madeleine BEAUREGARD,Rideau,2:16.650,0:00.000
2,6,Isabel LOWRY,Carleton Place,2:17.650,0:01.000
3,4,Ella COZENS,Cheema,2:18.511,0:01.861
4,3,Victoria TRAN,Maskwa,2:18.545,0:01.895
5,8,Emma MARSHALL,Balmy Beach,2:22.028,0:05.378
6,9,Kiira SAARENOJA,Calgary,2:25.522,0:08.872
7,2,Abbigail HAINES,Carleton Place,2:26.506,0:09.856
8,1,Claire MOLLARD,Mississauga,2:27.239,0:10.589
9,7,Lilah LESSARD PROPP,Calgary,2:38.989,0:22.339
