2:52 PM - Race #207 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,7,"Julia DEMCHUK, Kristiane FREE",Calgary,1:50.726,0:00.000
2,6,"Brianna SMITH, Emilee VATERS",Maskwa,1:50.998,0:00.272
3,4,"Anais LAPOINTE, Mathilde PATRY",Trois Rivieres,1:54.287,0:03.561
4,8,"Jonnie NEWMAN, Lauren RENTZ",Calgary,1:57.243,0:06.517
5,3,"Nora HANSON, Chantal IP",Toba,1:58.743,0:08.017
6,1,"Nienke ALBRICHT, Meera KALAR",Calgary,2:00.982,0:10.256
7,9,"Sophie BOUVETTE, Samantha LANDRY",Banook,2:05.687,0:14.961
DNF,2,"Daphnée CHAMPAGNE, Anna-Marya IZMAYLOV",Sherbrooke,0:00.000,0:00.000
DSQ,5,"Toshka BESHARAH, Emily BEST",Rideau,0:00.000,0:00.000
