3:21 PM - Race #159 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Nathan DAOUST,Lac-Beauport,3:43.132,0:00.000
2,3,Cormac ADAMS,Burloak,3:43.910,0:00.778
3,6,Raphaël CÔTÉ,Lac-Beauport,3:45.626,0:02.494
4,9,Lucas STEIN,Balmy Beach,3:47.521,0:04.389
5,4,Ryan NARODITSKY,Rideau,3:47.943,0:04.811
6,2,Luke ENNS,Toba,3:47.993,0:04.861
7,7,Nehal DHILLON,Burloak,3:51.626,0:08.494
8,1,Arthur MOREAU,Otterburn,3:52.793,0:09.661
9,8,David STEWART,Rideau,4:00.432,0:17.300
