9:45 AM - Race #182 - Heat 2 - Advancement/Progression: First 3 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,"Douglas ELLERY (Captain), Gabriel ARGANTE, Konstantine
ARMSTRONG, Hudson BROWN, Kate BRYANT, Joseph
COLDWELL, Ryan GOMEZ, Charlie HAZEL, Liam MACPHAIL,
Sofia MARTELI, Ayla MARTELL, Cambden PRATT, Alexandra
SANGSTER, James SWARBRIGG, Ifi UZOCHUKWU",Maskwa,2:14.167,0:00.000
2,4,"Antoine LALIBERTÉ (Captain), Maelle BOULAY, Gaelle
DOUCET, Alex DOYON, Adeline DUBUC, Émile DUBUC,
Zacharie DUBUC, Maelie LEVESQUE, Billy LIU, Zulima NAVA-
QUINTIN, Julianne PRONOVOST, Edouard ROUSSEAU,
Edouard ROUX, Sasha ROUX, Coralie TIMMONS",Otterburn,2:17.473,0:03.306
3,3,"Bret HIMMELMAN (Captain), Lucas BOUSQUET, Anika DU
PLOOY, Claire GOMEZ, Caleigh GOUDEY, Grace HILTON,
Ethan JOHNSON, Lily JOUDRY, Luke MACKENZIE, Owen
PELTON, Ryan PHILLIPS, Isla SWARBRIGG, Evan VATERS,
Jessica WOOD, Jack WOODHEAD",Maskwa,2:20.067,0:05.900
