2:35 PM - Race #151 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,"Katie COOPER, Emmerson EISENER, Marcy MEISNER,
Megan THOMPSON",Cheema,1:58.644,0:00.000
2,6,"Olivia DESROSIERS-MCARTHUR, Abigail HARRINGTON,
Emma-Rose NADEAU, Maya NOËL",Lac-Beauport,2:06.577,0:07.933
3,5,"Charlotte COOKE, Megan MCFETERS, Erica SHEPPARD,
Rory SNO-WOOD",Cheema,2:11.627,0:12.983
4,8,"Lily MCCLELLAND, Evelyn ROSS, Haley SEBESTA, Sophie
WILLIAMS",North Bay,2:14.483,0:15.839
5,7,"Kate BRYANT, Elayna DOUCET, Ifi UZOCHUKWU, Jessica
WOOD",Maskwa,2:15.033,0:16.389
6,3,"Kai CHOE, Pippa HARNETT, Sofia MSTOEV, Sophie
SIEWERT",Calgary,2:15.044,0:16.400
7,2,"Brooke BENJAMIN, Abianna LOPPIE, Sophie MITCHELL,
Chloe PIKE",Mic Mac,2:16.438,0:17.794
8,1,"Arabella HOLTZMAN, Elizabeth HOLTZMAN, Addie MASSON,
Jane SCHLOSSER",Rideau,2:27.249,0:28.605
DSQ,9,"Adeline DUBUC, Maelie LEVESQUE, Zulima NAVA-QUINTIN,
Coralie TIMMONS",Otterburn,0:00.000,0:00.000
