3:03 PM - Race #156 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Matthew BROWN,Maskwa,4:11.714,0:00.000
2,4,Alec MACAULAY,Cheema,4:16.908,0:05.194
3,3,Michael ZINCK,Senobe,4:18.186,0:06.472
4,7,Liam MACDONALD,Senobe,4:21.119,0:09.405
5,8,Baer ROBERTSON,Wascana,4:21.369,0:09.655
6,9,Adam SCHLOSSER,Rideau,4:22.247,0:10.533
7,1,Noah AL HASHEMI,Mississauga,4:23.169,0:11.455
8,6,Shawn GE,Burloak,4:23.242,0:11.528
9,2,Corben HICKEY,Kamloops,4:34.092,0:22.378
