12:51 PM - Race #59 - Heat 3 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Josh SARGANT,Mississauga,4:50.127,0:00.000
2,5,Roenn HODGINS,Carleton Place,4:50.327,0:00.200
3,2,Daniel KRAVCHUK,Mississauga,4:55.572,0:05.445
4,7,Wyatt DEEBLE,Mic Mac,5:02.410,0:12.283
5,3,Logan GRIMSRUD,Rideau,5:10.260,0:20.133
6,8,Owen CHOU,Flatwater North,5:11.888,0:21.761
7,4,Pano MCCARTNEY,Saskatoon,5:14.844,0:24.717
8,9,John GLOYN,Mississauga,5:31.622,0:41.495
DNS,1,Nathan GOODALL,Ottawa,0:00.000,0:00.000
