4:35 PM - Race #91 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Élizabeth DESROSIERS-MCARTHUR,Lac-Beauport,2:20.347,0:00.000
2,6,Alexia GAGNON,Lac-Beauport,2:23.191,0:02.844
3,7,Veronica SO,Fort,2:26.280,0:05.933
4,3,Léanne CASTONGUAY,Otterburn,2:29.269,0:08.922
5,4,Hannah WINTONIW,Toba,2:33.608,0:13.261
6,1,Amanda WALKER,Saskatoon,2:37.930,0:17.583
7,2,Stephanie JUAREZ-BEAULIEU,Toba,2:38.247,0:17.900
8,8,Gillian KURELSKI,Calgary,2:41.747,0:21.400
9,9,Kaelynn ROCHEFORT,Saskatoon,2:49.841,0:29.494
