5:08 PM - Race #163 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,1,Lukas GOAS,False Creek,27:21.371,0:00.000
2,6,Reuben LOZADA,Mississauga,27:25.744,0:04.373
3,8,Alexander SHIROKOV,Mississauga,27:38.949,0:17.578
4,9,Joshua REID,Kamloops,27:41.049,0:19.678
5,17,Max IVANOV,Richmond Hill,27:57.038,0:35.667
6,26,Christos GIANNOU,Maskwa,28:05.844,0:44.473
7,19,Alex SHERIDAN,Balmy Beach,28:10.216,0:48.845
8,3,Mason LOWRY,Carleton Place,28:42.744,1:21.373
9,2,Victor GIRARD,Lac-Beauport,28:55.566,1:34.195
10,4,William TOWNSEND,Maskwa,28:57.527,1:36.156
11,14,Samuel EDGERTON,Kamloops,29:03.494,1:42.123
12,7,Patrick COMEAU,Pisiquid,29:05.871,1:44.500
13,24,Callum MACRITCHIE,False Creek,29:06.299,1:44.928
14,5,Will SYROISHKA,Saskatoon,29:21.821,2:00.450
15,16,Jared PRATT,Calgary,29:36.282,2:14.911
16,27,Guillermo GONZALEZ,Balmy Beach,29:38.994,2:17.623
17,18,Blake PREUSS,Ottawa,30:08.949,2:47.578
18,10,Ethan OLSON-MESA,Toba,30:13.071,2:51.700
19,22,Hugo DUMONT,Rideau,30:14.405,2:53.034
20,21,Liam MACPHAIL,Maskwa,30:33.766,3:12.395
21,25,Nolan TAGGART,Ottawa,30:33.894,3:12.523
22,15,Jacob CÔTÉ,Lac-Beauport,30:43.499,3:22.128
23,30,Kipp PUFFALT,Calgary,30:45.821,3:24.450
24,23,Édouard DIONNE-GUAY,Trois Rivieres,30:47.727,3:26.356
25,28,Alexandre MORIN,Lac-Beauport,31:36.221,4:14.850
26,20,River KLOEBLE,Saskatoon,32:13.266,4:51.895
DSQ,11,Andrew EMOND,Trois Rivieres,0:00.000,0:00.000
DNF,13,Ryan GOMEZ,Maskwa,0:00.000,0:00.000
DSQ,29,Terry IGARASHI,Fort,0:00.000,0:00.000
DNF,12,Mason COBB,Rideau,0:00.000,0:00.000
