11:05 AM - Race #31 - Heat 1 - Advancement/Progression: 1/6 to SF; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Anna ARCHIBALD,Banook,1:57.997,0:00.000
2,7,Kahlen TSZE,False Creek,2:01.164,0:03.167
3,4,Anais LAPOINTE,Trois Rivieres,2:05.922,0:07.925
4,2,Justine TREMBLAY,Lac-Beauport,2:08.727,0:10.730
5,3,Senika VELISEK,False Creek,2:10.313,0:12.316
6,9,Lyla BOYCHUK,Banook,2:11.802,0:13.805
7,6,Beatrice OGER,Rideau,2:14.612,0:16.615
8,1,Isabel CHRISTIE,Balmy Beach,2:18.790,0:20.793
9,8,Marguerite GAREAU,Sherbrooke,2:19.537,0:21.540
