6:17 PM - Race #91 - Heat 1 - Advancement/Progression: 1/3 + next 3 BT to Final; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,"Madeleine BEAUREGARD, Isabel LOWRY",Carleton Place,2:00.945,0:00.000
2,5,"Grace THEUNISSEN, Victoria TRAN",Maskwa,2:02.203,0:01.258
3,6,"Megan MCFETERS, Marcy MEISNER",Cheema,2:07.589,0:06.644
4,1,"Kai CHOE, Kiira SAARENOJA",Calgary,2:11.083,0:10.138
5,7,"Maëlle GIRARD, Maya NOËL",Lac-Beauport,2:12.635,0:11.690
6,2,"Abigail HARRINGTON, Julianne PRONOVOST",Lac-Beauport,2:15.215,0:14.270
7,3,"Winter DENT, Alexandra SANGSTER",Maskwa,2:15.738,0:14.793
8,8,"Olivia DESROSIERS-MCARTHUR, Emma-Rose NADEAU",Lac-Beauport,2:19.163,0:18.218
