11:15 AM - Race #33 - Heat 3 - Advancement/Progression: 1/6 to SF; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Kate OSBORNE,Rideau,2:04.164,0:00.000
2,4,Gaelle BOUSQUET,Maskwa,2:04.940,0:00.776
3,6,Sofia MARTELI,Maskwa,2:06.027,0:01.863
4,3,Zoe HATFIELD,Ottawa,2:07.889,0:03.725
5,7,Margaux LOYER,Lac-Beauport,2:14.458,0:10.294
6,9,Ellena KOZUSKANICH,Mic Mac,2:14.791,0:10.627
7,2,Clara MEULEAU,Otterburn,2:19.532,0:15.368
8,1,Josie PATCHELL,Carleton Place,2:20.182,0:16.018
9,8,Noémie PERREAULT,Sherbrooke,2:20.463,0:16.299
