5:11 PM - Race #82 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Anna ARCHIBALD,Banook,1:57.432,0:00.000
2,6,Kate OSBORNE,Rideau,1:58.237,0:00.805
3,2,Marie CHAMBERLAND,Lac-Beauport,2:00.679,0:03.247
4,4,Cassie KENNY,Burloak,2:00.800,0:03.368
5,7,Elizabeth FANOK,Banook,2:00.921,0:03.489
6,1,Maea KNIGHTS,Burloak,2:03.036,0:05.604
7,3,Emilee VATERS,Maskwa,2:03.909,0:06.477
8,9,Erika WALSH,Senobe,2:04.007,0:06.575
9,8,Gaelle BOUSQUET,Maskwa,2:08.748,0:11.316
