3:43 PM - Race #67 - D-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Ben WALKER,Maskwa,4:00.817,0:00.000
2,9,Jonothan BARRETT,South Niagara,4:01.092,0:00.275
3,5,Gavin BURKE,Rideau,4:03.282,0:02.465
4,7,Rylan CARRIGAN,Pisiquid,4:03.340,0:02.523
5,1,Dax MORRIS,Rideau,4:06.144,0:05.327
6,3,Bo LOWERY,Banook,4:06.276,0:05.459
7,2,Charlie ROGERS,Balmy Beach,4:07.368,0:06.551
8,4,Michael CHABAN,Mississauga,4:10.328,0:09.511
9,8,Lucas MACLEAN,Senobe,4:12.443,0:11.626
