4:36 PM - Race #75 - B-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Katie COOPER,Cheema,0:50.551,0:00.000
2,6,Megan MCFETERS,Cheema,0:50.729,0:00.178
3,5,Julia PRICE,Rideau,0:50.764,0:00.213
4,1,Megan THOMPSON,Cheema,0:51.051,0:00.500
5,9,Emmerson EISENER,Cheema,0:51.413,0:00.862
6,8,Alexandra SANGSTER,Maskwa,0:51.528,0:00.977
7,7,Kai CHOE,Calgary,0:51.747,0:01.196
8,3,Emma MARSHALL,Balmy Beach,0:51.902,0:01.351
9,2,Julianne PRONOVOST,Otterburn,0:52.936,0:02.385
