4:41 PM - Race #76 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Isabel LOWRY,Carleton Place,0:46.756,0:00.000
2,5,Amelie LALIBERTE,Otterburn,0:47.181,0:00.425
3,4,Abbie HAINES,Carleton Place,0:48.808,0:02.052
4,2,Madeleine BEAUREGARD,Rideau,0:48.974,0:02.218
5,8,Claire MOLLARD,Mississauga,0:49.124,0:02.368
6,9,Victoria TRAN,Maskwa,0:49.296,0:02.540
7,7,Elle MACKENZIE,Cheema,0:49.739,0:02.983
8,3,Ella COZENS,Cheema,0:50.497,0:03.741
9,1,Grace THEUNISSEN,Banook,0:51.037,0:04.281
