2:20 PM - Race #55 - Semi 1 - Advancement/Progression: 1/2 + next BT to Final A; 3x3rd + 4x4th + 2x5th BT to Final B; 2x5th + 4x6th + 3 next BT to Final C; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Anna ARCHIBALD,Banook,1:59.918,0:00.000
2,4,Emilee VATERS,Maskwa,2:02.970,0:03.052
3,3,Gaelle BOUSQUET,Maskwa,2:04.016,0:04.098
4,6,Norah LEGGE,Banook,2:05.619,0:05.701
5,7,Lilliana SATO,Richmond Hill,2:08.131,0:08.213
6,8,Justine TREMBLAY,Lac-Beauport,2:09.165,0:09.247
7,9,Senika VELISEK,False Creek,2:10.585,0:10.667
8,1,Honour MCQUAY,Sydenham,2:11.039,0:11.121
9,2,Malya GAGNON,Rideau,2:13.108,0:13.190
