2:25 PM - Race #56 - Semi 2 - Advancement/Progression: 1/2 + next BT to Final A; 3x3rd + 4x4th + 2x5th BT to Final B; 2x5th + 4x6th + 3 next BT to Final C; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Cassie KENNY,Burloak,1:59.598,0:00.000
2,6,Elizabeth FANOK,Banook,1:59.816,0:00.218
3,5,Maea KNIGHTS,Burloak,2:00.626,0:01.028
4,3,Kahlen TSZE,False Creek,2:02.052,0:02.454
5,7,Sofia MARTELI,Maskwa,2:05.063,0:05.465
6,1,Katie GAUDET,Banook,2:07.592,0:07.994
7,2,Marin MACNEIL,Mic Mac,2:08.563,0:08.965
8,8,Victoria LAVALLÉE-LATOUR,Sherbrooke,2:09.109,0:09.511
9,9,Rachel JOU,Richmond Hill,2:23.115,0:23.517
