2:05 PM - Race #52 - Semi 3 - Advancement/Progression:,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Isabel LOWRY,Carleton Place,0:47.664,0:00.000
2,6,Madeleine BEAUREGARD,Rideau,0:49.107,0:01.443
3,4,Victoria TRAN,Maskwa,0:49.739,0:02.075
4,3,Katie COOPER,Cheema,0:50.590,0:02.926
5,8,Alexandra SANGSTER,Maskwa,0:51.860,0:04.196
6,7,Emmerson EISENER,Cheema,0:52.486,0:04.822
7,2,Marcy MEISNER,Cheema,0:52.584,0:04.920
8,1,Leia STEPHENSON,Lac-Beauport,0:52.618,0:04.954
9,9,Abigail HARRINGTON,Lac-Beauport,0:56.308,0:08.644
