1,5,"Anna ARCHIBALD, Norah LEGGE",Banook,1:54.502,0:00.000
2,4,"Elizabeth FANOK, Cassie KENNY",Burloak,1:56.341,0:01.839
3,2,"Justine TREMBLAY, Maude VITTOZ",Lac-Beauport,2:05.117,0:10.615
4,3,"Marin MACNEIL, Catherine NORMAN",Mic Mac,2:09.938,0:15.436
5,8,"Isabel CHRISTIE, Brooklyn KEIZER",Mic Mac,2:10.548,0:16.046
6,6,"Charlie LECLERC, Noémie PERREAULT",Sherbrooke,2:11.226,0:16.724
7,7,"Anika DU PLOOY, Abigail PIPPARD",Maskwa,2:14.352,0:19.850
DNS,1,"Test PADDLER 2, Erika WALSH",Senobe,0:00.000,0:00.000
