1:36 PM - Race #48 - Semi 4 - Advancement/Progression: 1/2 + next BT to Final A; 3x3rd + 4x4th + 2x5th BT to Final B; 2x5th + 4x6th + 3 next BT to Final C; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Lukas GOAS,False Creek,3:47.384,0:00.000
2,5,Harris HUNTER,Kamloops,3:48.913,0:01.529
3,6,Thomas SINOTTE,Lac-Beauport,3:54.189,0:06.805
4,2,Frédéric BRAIS,Rideau,4:02.608,0:15.224
5,9,Laurent ROULEAU,Lachine,4:02.936,0:15.552
6,7,Aiden KINNAIRD,Burloak,4:03.781,0:16.397
7,8,Victor GIRARD,Lac-Beauport,4:06.430,0:19.046
8,3,Bo LOWERY,Banook,4:09.913,0:22.529
9,1,Dax MORRIS,Rideau,4:24.448,0:37.064
