4:21 PM - Race #72 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Katie VINCENT,Mississauga,0:45.562,0:00.000
2,4,Sophia JENSEN,Cascades,0:46.407,0:00.845
3,6,Élizabeth DESROSIERS-MCARTHUR,Lac-Beauport,0:47.919,0:02.357
4,3,Ruby MUHL,Rideau,0:48.304,0:02.742
5,8,Evie MCDONALD,Rideau,0:48.539,0:02.977
6,7,Zoe WOJTYK,Rideau,0:48.597,0:03.035
7,2,Jacy GRANT,Cheema,0:49.223,0:03.661
8,1,Ava CAREW,Senobe,0:50.488,0:04.926
9,9,Veronica SO,False Creek,0:51.310,0:05.748
