11:30 AM - Race #36 - Heat 6 - Advancement/Progression: 1/6 to SF; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Marie CHAMBERLAND,Lac-Beauport,2:06.302,0:00.000
2,5,Norah LEGGE,Banook,2:07.152,0:00.850
3,6,Marin MACNEIL,Mic Mac,2:08.135,0:01.833
4,3,Abbie BEGBIE,Ottawa,2:08.187,0:01.885
5,7,Natalie MCQUAY,Mississauga,2:15.124,0:08.822
6,8,Payton CLUETT,Mic Mac,2:22.934,0:16.632
7,1,Eloise HEBERT,Lac-Sergent,2:23.118,0:16.816
8,2,Abby NDEGWA,Calgary,2:27.710,0:21.408
