4:01 PM - Race #70 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Tate LEVY,Senobe,3:41.208,0:00.000
2,6,Owen MACLEAN,Balmy Beach,3:41.328,0:00.120
3,3,Lukas GOAS,False Creek,3:46.432,0:05.224
4,9,Harris HUNTER,Kamloops,3:46.633,0:05.425
5,5,Nicholas LAPIERRE,Banook,3:47.248,0:06.040
6,8,Damian HICKEY,Kamloops,3:47.949,0:06.741
7,1,Conrad HOOGERBOORD,Senobe,3:54.461,0:13.253
8,2,Harry BROWN,Cheema,3:58.461,0:17.253
9,7,Leif MITCHELL,Banook,4:00.259,0:19.051
