4:39 PM - Race #162 - B-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Nathan DAOUST,Lac-Beauport,1:41.687,0:00.000
2,3,Cormac ADAMS,Burloak,1:41.737,0:00.050
3,5,Alex ERITH-ELLWOOD,Senobe,1:42.526,0:00.839
4,6,Alex CANNING,Banook,1:44.142,0:02.455
5,7,Raphaël CÔTÉ,Lac-Beauport,1:44.520,0:02.833
6,2,Nehal DHILLON,Burloak,1:45.220,0:03.533
7,8,Carson COREY,Burloak,1:46.020,0:04.333
8,1,Ryan NARODITSKY,Rideau,1:46.781,0:05.094
9,9,Lucas STEIN,Balmy Beach,1:49.209,0:07.522
