5:47 PM - Race #179 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Anna ARCHIBALD,Banook,1:56.993,0:00.000
2,7,Kate OSBORNE,Rideau,1:58.777,0:01.784
3,4,Elizabeth FANOK,Banook,1:58.788,0:01.795
4,3,Cassie KENNY,Burloak,1:59.438,0:02.445
5,8,Marie CHAMBERLAND,Lac-Beauport,2:00.471,0:03.478
6,6,Emilee VATERS,Maskwa,2:01.388,0:04.395
7,2,Erika WALSH,Senobe,2:02.277,0:05.284
8,1,Gaelle BOUSQUET,Maskwa,2:04.399,0:07.406
9,9,Kahlen TSZE,False Creek,2:05.171,0:08.178
