5:15 PM - Race #171 - C-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Marcy MEISNER,Cheema,2:19.000,0:00.000
2,6,Abbie HAINES,Carleton Place,2:23.389,0:04.389
3,8,Maëlle GIRARD,Lac-Beauport,2:24.389,0:05.389
4,4,Kiira SAARENOJA,Calgary,2:24.511,0:05.511
5,3,Flavie MARTIN,Trois Rivieres,2:25.755,0:06.755
6,7,Julianne PRONOVOST,Otterburn,2:26.366,0:07.366
7,2,Esme BONING,Toba,2:28.194,0:09.194
8,1,Abigail HARRINGTON,Lac-Beauport,2:33.427,0:14.427
9,9,Olivia DESROSIERS-MCARTHUR,Lac-Beauport,2:34.389,0:15.389
