5:23 PM - Race #173 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Isabel LOWRY,Carleton Place,2:09.906,0:00.000
2,2,Madeleine BEAUREGARD,Rideau,2:10.583,0:00.677
3,7,Megan THOMPSON,Cheema,2:11.722,0:01.816
4,5,Victoria TRAN,Maskwa,2:12.228,0:02.322
5,4,Megan MCFETERS,Cheema,2:12.772,0:02.866
6,1,Amelie LALIBERTE,Otterburn,2:13.200,0:03.294
7,9,Ella COZENS,Cheema,2:14.739,0:04.833
8,3,Emma MARSHALL,Balmy Beach,2:16.100,0:06.194
9,8,Alexandra SANGSTER,Maskwa,2:16.211,0:06.305
