12:08 PM - Race #119 - Heat 1 - Advancement/Progression: 1/2 + next 3 BT to Final; 3/5 + next 3 BT to B Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Victoria TRAN,Maskwa,2:14.205,0:00.000
2,4,Ella COZENS,Cheema,2:14.745,0:00.540
3,6,Megan MCFETERS,Cheema,2:18.274,0:04.069
4,8,Kai CHOE,Calgary,2:19.717,0:05.512
5,7,Julia PRICE,Rideau,2:21.148,0:06.943
6,3,Leia STEPHENSON,Lac-Beauport,2:21.797,0:07.592
7,9,Haley SEBESTA,North Bay,2:32.832,0:18.627
8,1,Nora-Maelie TURCOTTE,Lac-Beauport,2:42.665,0:28.460
9,2,Evelyn ROSS,North Bay,2:49.872,0:35.667
