2:52 PM - Race #146 - Semi 2 - Advancement/Progression:,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Megan MCFETERS,Cheema,2:13.804,0:00.000
2,5,Megan THOMPSON,Cheema,2:13.951,0:00.147
3,4,Amelie LALIBERTE,Otterburn,2:14.994,0:01.190
4,3,Katie COOPER,Cheema,2:15.848,0:02.044
5,7,Emmerson EISENER,Cheema,2:19.266,0:05.462
6,2,Kai CHOE,Calgary,2:19.831,0:06.027
7,8,Kiira SAARENOJA,Calgary,2:24.940,0:11.136
8,1,Julianne PRONOVOST,Otterburn,2:31.065,0:17.261
9,9,Abigail HARRINGTON,Lac-Beauport,2:34.668,0:20.864
