5:43 PM - Race #178 - B-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Maea KNIGHTS,Burloak,2:01.592,0:00.000
2,4,Sofia MARTELI,Maskwa,2:03.792,0:02.200
3,8,Matilda BOWERS,Cheema,2:05.209,0:03.617
4,6,Eve WILSON,Wascana,2:05.287,0:03.695
5,9,Lilliana SATO,Richmond Hill,2:07.309,0:05.717
6,1,Norah LEGGE,Banook,2:07.342,0:05.750
7,7,Zoe HATFIELD,Ottawa,2:08.037,0:06.445
8,3,Anais LAPOINTE,Trois Rivieres,2:08.348,0:06.756
9,2,Marin MACNEIL,Mic Mac,2:10.015,0:08.423
