2:16 PM - Race #137 - Semi 1 - Advancement/Progression:,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,8,Nicholas MATVEEV,Balmy Beach,1:42.550,0:00.000
2,5,Craig JOHNSON,Senobe,1:43.160,0:00.610
3,6,Nathan KONÉ,Trois Rivieres,1:43.211,0:00.661
4,4,Alex ERITH-ELLWOOD,Senobe,1:44.292,0:01.742
5,3,Raphaël CÔTÉ,Lac-Beauport,1:46.292,0:03.742
6,7,Nehal DHILLON,Burloak,1:47.395,0:04.845
7,9,Leo CARMICHAEL,Cascades,1:48.769,0:06.219
8,2,Alexander HOFEREK,Rideau,1:50.073,0:07.523
9,1,Émile PAQUETTE,Pointe-Claire,1:51.752,0:09.202
