4:43 PM - Race #163 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Nicholas MATVEEV,Balmy Beach,1:39.088,0:00.000
2,3,Craig JOHNSON,Senobe,1:40.593,0:01.505
3,6,Ian GAUDET,Banook,1:41.240,0:02.152
4,7,Jason BURKHOLDER,Burloak,1:41.963,0:02.875
5,1,Mathieu GILBERT,Trois Rivieres,1:43.126,0:04.038
6,8,Nathan KONÉ,Trois Rivieres,1:43.370,0:04.282
7,9,Luke ENNS,Toba,1:46.772,0:07.684
8,2,Cameron LOW,Balmy Beach,1:48.914,0:09.826
9,4,Vincent JOURDENAIS,Trois Rivieres,1:50.060,0:10.972
