9:39 AM - Race #102 - Heat 4 - Advancement/Progression: 1/5 + 2x6th BT to SF; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Shawn GE,Burloak,2:01.928,0:00.000
2,5,Matthew BROWN,Maskwa,2:02.641,0:00.713
3,3,Spencer MCLEOD,Mississauga,2:06.319,0:04.391
4,6,Aleksander SEREMAK,Toba,2:07.480,0:05.552
5,7,Wyatt DEEBLE,Mic Mac,2:09.244,0:07.316
6,2,Noa PICHÉ,Otterburn,2:09.796,0:07.868
7,8,Diego PADRON-CORBEIL,Pointe-Claire,2:15.784,0:13.856
DSQ,1,David ACKERMAN,Mic Mac,0:00.000,0:00.000
