3:04 PM - Race #149 - Semi 2 - Advancement/Progression:,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Chloe BRYER,Burloak,1:56.093,0:00.000
2,3,Alina TVERIE,Lachine,1:56.913,0:00.820
3,5,Callie LOCH,Rideau,1:57.843,0:01.750
4,7,Eva LOOPER,Burloak,2:00.104,0:04.011
5,6,Brianna SMITH,Maskwa,2:02.294,0:06.201
6,2,Jonnie NEWMAN,Calgary,2:04.794,0:08.701
7,8,Calina BIDAL,Lachine,2:07.826,0:11.733
8,9,Sophie BOUVETTE,Banook,2:11.669,0:15.576
9,1,Clara BLANCHETTE,Lachine,2:17.908,0:21.815
