4:51 PM - Race #165 - C-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,3,Emrick LECLERC,Lac-Beauport,1:46.999,0:00.000
2,8,Harry BROWN,Cheema,1:47.227,0:00.228
3,2,Costin NEAGOE,Mississauga,1:48.783,0:01.784
4,9,Xavier HEBERT,Lac-Beauport,1:48.894,0:01.895
5,1,Louis Enzo ROY,Lac-Beauport,1:49.861,0:02.862
6,7,Julien POMERLEAU,Lac-Beauport,1:50.727,0:03.728
7,6,Rylan CARRIGAN,Pisiquid,1:50.761,0:03.762
8,4,Ty COLLVER,Mississauga,1:51.605,0:04.606
9,5,Leif MITCHELL,Banook,1:52.955,0:05.956
