9:31 AM - Race #100 - Heat 2 - Advancement/Progression: 1/5 + 2x6th BT to SF; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Michael ZINCK,Senobe,2:04.590,0:00.000
2,5,Liam MACDONALD,Senobe,2:05.866,0:01.276
3,6,Roenn HODGINS,Carleton Place,2:06.458,0:01.868
4,2,Adam MARCOUX,Lachine,2:11.004,0:06.414
5,7,Matthew MACDONALD,Sack-a-Wa,2:11.136,0:06.546
6,3,Konstantine ARMSTRONG,Maskwa,2:12.533,0:07.943
7,1,Émile RAYMOND,Otterburn,2:14.343,0:09.753
8,8,Gabriel COLLINS,Mic Mac,2:26.964,0:22.374
