3:16 PM - Race #152 - Semi 3 - Advancement/Progression: 1/2 + next BT to Final A; 3x3rd + 4x4th + 2x5th BT to Final B; 2x5th,col_1,col_2,col_3,col_4,col_5
+ 4x6th + 3 next BT to Final C; Rest Out,,,,,
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Emilee VATERS,Maskwa,2:02.031,0:00.000
2,6,Erika WALSH,Senobe,2:02.612,0:00.581
3,5,Kahlen TSZE,False Creek,2:03.145,0:01.114
4,3,Sofia MARTELI,Maskwa,2:04.025,0:01.994
5,2,Matilda BOWERS,Cheema,2:05.041,0:03.010
6,7,Lilliana SATO,Richmond Hill,2:08.270,0:06.239
7,1,Katie GAUDET,Banook,2:09.873,0:07.842
8,8,Victoria LAVALLÉE-LATOUR,Sherbrooke,2:12.498,0:10.467
9,9,Lyla BOYCHUK,Banook,2:13.541,0:11.510
