6:45 PM - Race #187 - Semi 2 - Advancement/Progression:,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,"Marie CHAMBERLAND, Anais LAPOINTE",Trois Rivieres,1:57.678,0:00.000
2,9,"Lyla BOYCHUK, Katie GAUDET",Cheema,2:00.901,0:03.223
3,5,"Abbie BEGBIE, Zoe HATFIELD",Ottawa,2:01.751,0:04.073
4,6,"Justine TREMBLAY, Maude VITTOZ",Lac-Beauport,2:02.506,0:04.828
5,2,"Megan CHAMPAGNE, Victoria LAVALLÉE-
LATOUR",Sherbrooke,2:03.806,0:06.128
6,7,"Isabel CHRISTIE, Brooklyn KEIZER",Mic Mac,2:07.267,0:09.589
7,3,"Malya GAGNON, Beatrice OGER",Rideau,2:08.684,0:11.006
8,1,"Anika DU PLOOY, Abigail PIPPARD",Maskwa,2:10.412,0:12.734
9,8,"Eloise HEBERT, Maëlle LECLERC",Lac-Sergent,2:16.062,0:18.384
