12:40 PM - Race #127 - Heat 2 - Advancement/Progression: 1/6 to SF; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Kate OSBORNE,Rideau,2:06.296,0:00.000
2,4,Sofia MARTELI,Maskwa,2:07.152,0:00.856
3,6,Zoe HATFIELD,Ottawa,2:07.951,0:01.655
4,3,Senika VELISEK,False Creek,2:11.899,0:05.603
5,7,Margaux LOYER,Lac-Beauport,2:16.744,0:10.448
6,2,Amalia JORDAN,Calgary,2:17.215,0:10.919
7,1,Abigail PIPPARD,Calgary,2:20.106,0:13.810
8,8,Eloise HEBERT,Lac-Sergent,2:20.899,0:14.603
9,9,Brooklyn KEIZER,Mic Mac,2:25.376,0:19.080
