3:12 PM - Race #151 - Semi 2 - Advancement/Progression: 1/2 + next BT to Final A; 3x3rd + 4x4th + 2x5th BT to Final B; 2x5th,col_1,col_2,col_3,col_4,col_5
+ 4x6th + 3 next BT to Final C; Rest Out,,,,,
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Elizabeth FANOK,Banook,2:01.845,0:00.000
2,5,Kate OSBORNE,Rideau,2:04.051,0:02.206
3,6,Gaelle BOUSQUET,Maskwa,2:04.756,0:02.911
4,3,Eve WILSON,Wascana,2:06.484,0:04.639
5,2,Anais LAPOINTE,Trois Rivieres,2:07.601,0:05.756
6,7,Norah LEGGE,Banook,2:09.251,0:07.406
7,1,Justine TREMBLAY,Lac-Beauport,2:10.473,0:08.628
8,8,Senika VELISEK,False Creek,2:13.712,0:11.867
9,9,Honour MCQUAY,Sydenham,2:14.378,0:12.533
