4:35 PM - Race #161 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Wesley BARTLETT,Rideau,1:55.809,0:00.000
2,5,Justin BOYKO,Calgary,1:55.920,0:00.111
3,3,Alec MACAULAY,Cheema,1:57.148,0:01.339
4,4,Matthew BROWN,Maskwa,1:58.092,0:02.283
5,8,Shawn GE,Burloak,1:59.370,0:03.561
6,7,Josh SARGANT,Mississauga,2:00.914,0:05.105
7,2,Nolen MITCHELL,Banook,2:01.031,0:05.222
8,9,Michael ZINCK,Senobe,2:01.903,0:06.094
9,1,Roenn HODGINS,Carleton Place,2:02.336,0:06.527
